molecule_chembl_id,canonical_smiles,standard_value,pIC50
CHEMBL2114210,OC[C@H]1N[C@H](CO)[C@@H](O)C(O)[C@@H]1O,110000.0,3.958607314841775
CHEMBL87169,OCC1NC(CO)[C@@H](O)C(O)C1O,700.0,6.154901959985743
CHEMBL2115215,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,3200.0,5.494850021680094
CHEMBL501355,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,40.0,7.3979400086720375
CHEMBL2093897,OC[C@@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,8400.0,5.075720713938118
CHEMBL2442258,CN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,60.0,7.221848749616356
CHEMBL3084806,CCCCN1[C@H](CO)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,4200.0,5.376750709602099
CHEMBL77918,CCCCN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO,50000.0,4.301029995663981
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,360.0,6.443697499232712
CHEMBL80254,OC[C@H]1NC[C@@H](O)[C@@H]1O,55000.0,4.259637310505756
CHEMBL310229,CCCCN1C[C@@H](O)[C@H](O)[C@H]1CO,50000.0,4.301029995663981
CHEMBL310231,CN1[C@H](CO)[C@@H](O)[C@H](O)[C@H]1CO,50000.0,4.301029995663981
CHEMBL312653,OC[C@H]1N[C@H](CO)[C@@H](O)[C@@H]1O,50000.0,4.301029995663981
CHEMBL1029,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,2100.0,5.6777807052660805
CHEMBL75971,CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,120.0,6.920818753952375
CHEMBL80148,CN1C[C@@H](O)[C@H](O)[C@H]1CO,500000.0,3.3010299956639813
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,10400.0,4.982966660701219
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,2610.0,5.583359492661719
CHEMBL422734,CCCCCCCCNC1C=C(CO)C(O)C(O)C1O,17000.0,4.769551078621726
CHEMBL176679,CCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O,,
CHEMBL1230806,N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,100000.0,4.0
CHEMBL369361,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CNC1C=C(CO)C(O)C(O)C1O)NC(=O)CCCCCCCCCCCCCCC,,
CHEMBL367666,CCCCNC1C=C(CO)C(O)C(O)C1O,100000.0,4.0
CHEMBL426933,CCCCCCCCCCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O,100000.0,4.0
CHEMBL174067,OC1C(O)C(O)C2OC2C1O,100000.0,4.0
CHEMBL170431,CCCCCCCCCCCCCCNC1C=C(CO)C(O)C(O)C1O,,
CHEMBL1744444,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12.C[C@]12CC[C@H]3[C@@H](CCC4CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,100000.0,4.0
CHEMBL354193,CCCCCCNC1C=C(CO)C(O)C(O)C1O,50000.0,4.301029995663981
CHEMBL2374254,OC[C@@]1(O)C[C@H](NC[C@H](O)c2ccccc2)[C@H](O)[C@H](O)[C@H]1O,5.8,8.236572006437063
CHEMBL2051980,CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,3200.0,5.494850021680094
CHEMBL2051761,C[C@H]1C[C@H](N)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,28.0,7.552841968657781
CHEMBL2051982,C[C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,70.0,7.154901959985743
CHEMBL2374252,OC[C@@H](N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O)c1ccccc1,34000.0,4.468521082957745
CHEMBL3349433,OC[C@@]1(O)C[C@H](NCC2CCCCC2)[C@H](O)[C@@H](O)[C@@H]1O,240.0,6.619788758288394
CHEMBL1230806,N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,340000.0,3.4685210829577446
CHEMBL3349432,OC[C@@]1(O)C[C@H](N[C@@H]2CCCC[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,6.1,8.214670164989233
CHEMBL3349431,OCN(CO)[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,15.0,7.823908740944319
CHEMBL3349439,OC[C@@]1(O)C[C@H](N[C@H]2CCCC[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,1600.0,5.795880017344075
CHEMBL3349435,OC[C@@]1(O)C[C@H](NCc2ccc(Br)cc2)[C@H](O)[C@@H](O)[C@@H]1O,230.0,6.638272163982407
CHEMBL2051983,CO[C@H]1O[C@H](C)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,4.9,8.309803919971486
CHEMBL3349440,OCC(CO)N[C@H]1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,550.0,6.259637310505756
CHEMBL222396,N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,2200.0,5.657577319177793
