Drug_Name,Affinity_kcal_mol
Conivaptan,-12.6
Nafarelin,-12.3
Dutasteride,-12.0
Dihydroergotamine,-11.8
Vindesine,-11.7
Mifepristone,-11.5
Drospirenone,-11.4
Nilotinib,-11.4
Azilsartan medoxomil,-11.2
Digoxin,-11.2
Goserelin,-11.2
Irinotecan,-10.9
Suramin,-10.9
Tasosartan,-10.9
Clofazimine,-10.8
Eribulin,-10.8
Teniposide,-10.7
Bromocriptine,-10.7
Plerixafor,-10.7
Adapalene,-10.7
Plicamycin,-10.6
Apixaban,-10.6
Deslanoside,-10.6
Ergotamine,-10.6
Tadalafil,-10.6
Metocurine,-10.6
Irbesartan,-10.5
Voacamine,-10.5
Lurasidone,-10.5
Estropipate,-10.5
Dabrafenib,-10.5
Cyproterone,-10.5
Idarubicin,-10.5
Fosaprepitant,-10.4
Sertindole,-10.4
Digitoxin,-10.4
Trametinib,-10.4
Doxazosin,-10.4
Saquinavir,-10.4
Tipranavir,-10.4
Imatinib,-10.4
Aprepitant,-10.3
Tubocurarine,-10.3
Etoposide,-10.3
Ciclesonide,-10.3
Natamycin,-10.3
Tolvaptan,-10.3
Finasteride,-10.3
Loratadine,-10.3
Maraviroc,-10.2
Regorafenib,-10.2
Ziprasidone,-10.2
Canagliflozin,-10.2
Ethynodiol Diacetate,-10.2
Lapatinib,-10.2
Vemurafenib,-10.2
Indacaterol,-10.1
Daunorubicin,-10.1
Telmisartan,-10.1
Vecuronium,-10.1
Mezlocillin,-10.1
Antrafenine,-10.1
Risperidone,-10.1
Danazol,-10.1
Abiraterone,-10.1
Tauroursodeoxycholic acid,-10.1
Fluspirilene,-10.1
Clozapine,-10.0
Acetyldigitoxin,-10.0
Valrubicin,-10.0
Vapreotide,-10.0
Demeclocycline,-10.0
Topotecan,-10.0
Cefoperazone,-10.0
Mestranol,-10.0
Gonadorelin,-10.0
Desmopressin,-10.0
Candesartan,-10.0
Saprisartan,-10.0
Pazopanib,-10.0
Desloratadine,-10.0
Pranlukast,-10.0
Azelastine,-10.0
Pipecuronium,-10.0
Ponatinib,-10.0
Epirubicin,-9.9
Doxorubicin,-9.9
Estrone,-9.9
Paclitaxel,-9.9
Amcinonide,-9.9
Cortisone acetate,-9.9
Megestrol,-9.9
Lopinavir,-9.9
Paliperidone,-9.9
Novobiocin,-9.9
Cetrorelix,-9.9
Linagliptin,-9.9
Flurandrenolide,-9.9
Glimepiride,-9.9
Fluoxymesterone,-9.9
Piperacillin,-9.9
Azatadine,-9.9
Bifonazole,-9.9
Nandrolone phenpropionate,-9.9
Telaprevir,-9.9
Tetracycline,-9.9
Nebivolol,-9.8
Formestane,-9.8
Prazosin,-9.8
Quinestrol,-9.8
Itraconazole,-9.8
Flumethasone Pivalate,-9.8
Rescinnamine,-9.8
Gliquidone,-9.8
Azlocillin,-9.8
Pralatrexate,-9.8
Exemestane,-9.8
Docetaxel,-9.8
Pemetrexed,-9.8
Eplerenone,-9.8
Latamoxef,-9.8
Pimozide,-9.8
Estriol,-9.8
Diflorasone,-9.8
Eltrombopag,-9.8
Thiothixene,-9.8
Testolactone,-9.8
Sorafenib,-9.7
Atovaquone,-9.7
Oxytetracycline,-9.7
Progesterone,-9.7
Minocycline,-9.7
Darifenacin,-9.7
Fluorometholone,-9.7
Praziquantel,-9.7
